[Lab2] Flow matching on symmetric GMM ...

  0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.8338:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 22.2809:   5%|¨…         | 241/5000 [00:04<01:40, 47.56it/s]
loss: 21.3892:   5%|¨…         | 241/5000 [00:04<01:40, 47.56it/s]
loss: 26.0092:   5%|¨…         | 241/5000 [00:04<01:40, 47.56it/s]
loss: 21.5413:   5%|¨…         | 241/5000 [00:04<01:40, 47.56it/s]
loss: 21.5413:   5%|¨…         | 247/5000 [00:04<01:36, 49.06it/s]
loss: 24.0063:   5%|¨…         | 247/5000 [00:04<01:36, 49.06it/s]
loss: 23.5738:   5%|¨…         | 247/5000 [00:05<01:36, 49.06it/s]
loss: 22.0560:   5%|¨…         | 247/5000 [00:05<01:36, 49.06it/s]
loss: 21.9695:   5%|¨…         | 247/5000 [00:05<01:36, 49.06it/s]
loss: 23.2500:   5%|¨…         | 247/5000 [00:05<01:36, 49.06it/s]
loss: 21.3825:   5%|¨…         | 247/5000 [00:05<01:36, 49.06it/s]
loss: 20.4973:   5%|¨…         | 247/5000 [00:05<01:36, 49.06it/s]
loss: 20.4973:   5%|¨„         | 254/5000 [00:05<01:27, 54.18it/s]
loss: 22.2317:   5%|¨„         | 254/5000 [00:05<01:27, 54.18it/s]
loss: 23.8872:   5%|¨„         | 254/5000 [00:05<01:27, 54.18it/s]
loss: 23.8153:   5%|¨„         | 254/5000 [00:05<01:27, 54.18it/s]
loss: 22.9997:   5%|¨„         | 254/5000 [00:05<01:27, 54.18it/s]
loss: 22.3153:   5%|¨„         | 254/5000 [00:05<01:27, 54.18it/s]
loss: 21.0772:   5%|¨„         | 254/5000 [00:05<01:27, 54.18it/s]
loss: 21.0772:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 23.1937:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 24.0029:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 23.6678:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 25.2841:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 20.8059:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 23.1235:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 22.6742:   5%|¨„         | 260/5000 [00:05<01:26, 54.55it/s]
loss: 22.6742:   5%|¨„         | 267/5000 [00:05<01:23, 56.87it/s]
